n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,objective,eval_metric,random_state,verbosity,Score
114,0.03456009460437551,4,5.487861537904312,0.20386990298375046,0.650125156101037,0.5428958010161715,1.9536096815480966,1.3018943533533849,reg:squarederror,rmse,42,0,0.438980402266394
127,0.010070312942126873,5,9.245567591287339,0.43716757092435987,0.8589334431350271,0.8168793911034473,0.8528560151563589,1.9109160993614076,reg:squarederror,rmse,42,0,0.3673455089268054
160,0.03458562940441495,4,3.9043850742813904,0.32528661349860394,0.5443778689335587,0.7074353427694329,1.990618757531745,1.8717002439396664,reg:squarederror,rmse,42,0,0.4450651072904995
136,0.08752288470892218,7,7.254687478326355,0.4076525236364757,0.8066580055751356,0.6663998184101423,1.4440705863569094,0.40989975711082227,reg:squarederror,rmse,42,0,0.42793081776590425
157,0.027740775081982465,8,1.737210922421057,0.38736091216199786,0.6124890488828953,0.5991165229298658,0.10776445628496734,0.37962134690461946,reg:squarederror,rmse,42,0,0.44315340913970935
59,0.011146544509078812,6,4.0159127026814785,0.05848583304097005,0.6371773471054765,0.927256368264118,0.9427318260906983,1.7379860360964225,reg:squarederror,rmse,42,0,0.266365203707862
78,0.021821560324636183,6,5.369668928423076,0.03333194318607996,0.7881024895633131,0.6625461259728767,0.793026264059858,0.31920779858594006,reg:squarederror,rmse,42,0,0.40052896944919175
90,0.040730285703756704,5,5.656327854435727,0.027837412955308838,0.9068985392404717,0.7759563978425243,1.7367264928623185,1.164631299179713,reg:squarederror,rmse,42,0,0.441831603517753
83,0.014717351881278163,3,3.1309369441648145,0.2238734948539589,0.9094773699713734,0.741310966093318,0.24892072128368836,0.42446269764973477,reg:squarederror,rmse,42,0,0.32765448286033666
93,0.06775095977160756,6,7.623540164835639,0.203789794816359,0.9201886105156982,0.6519234888919325,1.790111428574974,0.2978756714248776,reg:squarederror,rmse,42,0,0.4384571484552726
196,0.050921589560405586,3,1.6637793146337385,0.31797194407137985,0.5149640567277514,0.9937784778320251,1.3583109150542731,1.57400442216477,reg:squarederror,rmse,42,0,0.4470961749682146
187,0.053607993490916224,3,1.1861818567943119,0.28838179656253465,0.5018742273809711,0.9997929353526749,1.312302794242541,1.5055078823536818,reg:squarederror,rmse,42,0,0.44843905817779595
189,0.05351781216878766,3,1.157369924936277,0.31052312727080345,0.5045847400057106,0.991914861246718,1.3467642832337405,1.4932083381150836,reg:squarederror,rmse,42,0,0.4435789547604842
200,0.05185589429964774,3,2.4402648197456793,0.29958423559172864,0.7106638975663339,0.8773629182760629,1.310542631629498,0.8649914230349527,reg:squarederror,rmse,42,0,0.44650848551461875
174,0.08837819000522865,4,1.2518570462538987,0.48977198289072665,0.5654308523953404,0.9845293602717493,0.47844817312554255,0.8462816287501727,reg:squarederror,rmse,42,0,0.4318705922746324
179,0.05990572420154687,3,2.5887466767245555,0.1297398135567867,0.9930398583183444,0.8870558195734595,1.1628947420827873,1.544722521372432,reg:squarederror,rmse,42,0,0.4460415272846303
149,0.02340121467001174,4,3.966951133665967,0.27084905040356433,0.5077431075533775,0.9279407648197803,1.483151309349474,1.5192661673795673,reg:squarederror,rmse,42,0,0.44425965043722665
198,0.07021912769047829,5,2.1805734712581004,0.13295902103400953,0.7161934393043762,0.8341644556307781,1.1057965112286656,1.104301412023714,reg:squarederror,rmse,42,0,0.43238486348998234
182,0.04489949360017134,3,3.1238353092165925,0.3610493925415128,0.581674001758721,0.9465809763361118,0.5537091656859867,0.006570322452656097,reg:squarederror,rmse,42,0,0.44883324304193584
177,0.04213774355666115,4,3.2803503944522303,0.3758371661019749,0.5850195291718181,0.9386209921138601,0.6310520905210607,0.0908210729542878,reg:squarederror,rmse,42,0,0.4476386850852978
142,0.0191736101113888,8,4.649781612360937,0.48835335034600713,0.6807156307780237,0.8657486692439638,0.4479839698479213,0.7319081475469268,reg:squarederror,rmse,42,0,0.4264300078109424
172,0.04204915969483398,4,3.505740889153186,0.3592695211942257,0.5897221183366053,0.9359167738724239,0.4942115857253776,0.023096790399043055,reg:squarederror,rmse,42,0,0.44526684060136146
181,0.042252827238894626,3,3.03153003918047,0.3583656886183947,0.5784962219671665,0.9478533959075547,0.6879981009143596,0.04389107120545895,reg:squarederror,rmse,42,0,0.4510573950178367
163,0.028467524778423514,3,2.4862580226482547,0.42824500049919134,0.5571073682070755,0.9581444297321211,0.6383296318250251,0.16860915174778604,reg:squarederror,rmse,42,0,0.44647721667874596
185,0.06934718590937054,3,2.9665010619653915,0.26022525343822933,0.6337472586911275,0.8914975669296237,0.6987381279118444,0.5855589338231401,reg:squarederror,rmse,42,0,0.4441037295208631
116,0.04287595253690129,4,4.8855755292282534,0.3451025695516939,0.5495985689185668,0.8186701687263411,0.34980477710948343,0.5936195745621716,reg:squarederror,rmse,42,0,0.4424430615365429
